Marca temporal,1. ¿Cuál es tu edad?,2. ¿Cuál o cuáles son tus lenguas maternas?,3. ¿Qué lenguas comprendes y a qué nivel? [Inglés],3. ¿Qué lenguas comprendes y a qué nivel? [Francés],3. ¿Qué lenguas comprendes y a qué nivel? [Portugués],3. ¿Qué lenguas comprendes y a qué nivel? [Italiano],3. ¿Qué lenguas comprendes y a qué nivel? [Rumano],3. ¿Qué lenguas comprendes y a qué nivel? [Catalán],3. ¿Qué lenguas comprendes y a qué nivel? [Gallego],4. ¿Sabes algo de euskera o la gente de tu entorno habla euskera? ,"5. Si la respuesta anterior es afirmativa, ¿cómo has conseguido esos conocimientos? Por ejemplo: porque mi familia es euskaldun, porque voy a veranear a Lekeitio...",6. ¿Tienes conocimientos sobre la intercomprensión?,7. ¿Crees que es posible comprender una conversación en euskera sin haber aprendido/estudiado esta lengua previamente?,8. ¿Dónde tiene lugar el diálogo que has visto en el vídeo?,9. Resume brevemente qué ocurre.,10. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Parecido lingüístico con lenguas que conozco (por ejemplo: estructuras de las preguntas).],"10. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Proximidad léxica: palabras parecidas, nombres propios...]","10. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Gestos: con las manos, expresividad con la cara...]","10. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Situación de comunicación: el lugar, los personajes.]","10. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Entonación: las preguntas, las afirmaciones...]",10. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Conocimientos extralingüísticos: conocimientos científicos y culturales generales],11. ¿Dónde tiene lugar el diálogo que has visto en el vídeo?,12. Resume brevemente qué ocurre.,13. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Parecido lingüístico con lenguas que conozco (por ejemplo: estructuras de las preguntas).],"13. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Proximidad léxica: palabras parecidas, nombres propios..]","13. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Gestos: con las manos, expresividad con la cara...]","13. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Situación de comunicación: el lugar, los personajes.]","13. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Entonación: las preguntas, las afirmaciones, los suspiros...]",13. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Conocimientos extralingüísticos: conocimientos científicos y culturales generales],14. ¿Dónde tiene lugar el diálogo que has visto en el vídeo?,15. Resume brevemente qué ocurre.,16. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Parecido lingüístico con lenguas que conozco (por ejemplo: estructuras de las preguntas).],"16. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Proximidad léxica: palabras parecidas, nombres propios..]","16. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Gestos: con las manos, expresividad con la cara...]","16. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Situación de comunicación: el lugar, los personajes.]","16. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Entonación: el tono, las afirmaciones...]",16. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Conocimientos extralingüísticos: conocimientos científicos y culturales generales],"17. ¿Después de haber visto los vídeos, crees que es posible comprender una conversación en euskera sin haber aprendido/estudiado esta lengua previamente?",Puntuación
30/05/2022 21:53:03,Entre 20 y 25 años.,Español.,La entiendo y la hablo bien,"La entiendo bien (oral y escrito), pero no la hablo",La leo y la entiendo fácilmente (escrito),La leo y la entiendo fácilmente (escrito),"No la entiendo, ni la leo",Entiendo lo escrito de manera global,Entiendo lo escrito de manera global,No,,Sí,No estoy de acuerdo.,"En algún sitio donde hay q matricularse, la cola del paro alomejor o un hospital ",Este hombre viene a apuntarse a algo y la secretaria le pregunta una lista de preguntas para tener la mayor información posible,0,3,2,4,4,4,En la cocina/salón de una casa familiar ,Están haciendo una lista de los ingredientes para hacer una tortilla,0,2,1,4,3,3,En un pueblo fuera de ciudad ,El hombre explica cómo funciona el consumo de agua y calefacción en su casa ,1,2,1,4,3,5,No estoy de acuerdo.,
30/05/2022 21:53:16,Entre 20 y 25 años.,Español.,"La entiendo y la hablo bien, La entiendo bien (oral y escrito), pero no la hablo, La leo y la entiendo fácilmente (escrito), Entiendo lo escrito de manera global","La entiendo bien (oral y escrito), pero no la hablo, La leo y la entiendo fácilmente (escrito)",,,,,,No,,No,No estoy de acuerdo en absoluto.,NOEn la oficina de un centro público,NOLos adultos acuden para matricular a su hijo de 2 años,0,0,5,0,2,2,Ni puta idea,Ni puta idea,0,0,0,0,0,0,En su hogar,Explica los beneficios del autoconsumo por energía geotérmica,0,1,0,2,2,1,No estoy de acuerdo en absoluto.,
30/05/2022 21:54:10,Entre 20 y 25 años.,"Español., Francés.","No la entiendo, ni la leo",La entiendo y la hablo bien,"La entiendo bien (oral y escrito), pero no la hablo","La entiendo bien (oral y escrito), pero no la hablo","No la entiendo, ni la leo",La leo y la entiendo fácilmente (escrito),La leo y la entiendo fácilmente (escrito),Sí,He estudiado euskera durante un año ,No,No estoy de acuerdo en absoluto.,en un instituto/ universidad,el chico quiere matricularse y le está dando sus datos,1,5,3,4,4,0,En una cocina,Están haciendo la lista de la compra,0,2,1,1,1,0,En su casa,Habla de una instalación que hay en su casa,1,2,1,1,1,1,No estoy de acuerdo en absoluto.,
30/05/2022 21:54:51,Entre 20 y 25 años.,Español.,"La entiendo bien (oral y escrito), pero no la hablo","No la entiendo, ni la leo","No la entiendo, ni la leo",Entiendo lo escrito de manera global,"No la entiendo, ni la leo",Entiendo lo escrito de manera global,Entiendo lo escrito de manera global,Sí,Familia eukalduna,Sí,No estoy de acuerdo.,En una oficina,Carmelo le da sus datos a una secretaria. ,5,5,5,5,5,5,En una cocina,Quieren hacer tortilla de patata y están haciendo la lista de la compra ,5,3,5,5,5,3,En el jardín de una casa,Un hombre habla del sistema de geotermia que tiene en su casa,4,4,4,5,5,1,Estoy bastante de acuerdo.,
30/05/2022 21:56:34,Entre 20 y 25 años.,Español.,La entiendo y la hablo bien,,,La entiendo y la hablo bien,,,,No,,Sí,No estoy de acuerdo.,Supongo que sucede en una escuela o algo parecido ,La pareja va a un centro para que el chico pueda matricularse y la persona que les atiende le está pidiendo sus datos. ,2,3,5,5,3,3,En la cocina de una casa ,"El chico regreso de la universidad, ve que llueve y mientras habla con la chica, ella le propone preparar una patata, hicieron una lista de lo que les faltaba para ir a comprarlo ",2,3,4,5,3,5,"En un pueblo, en la casa d ela persona ",Creo que habla sobre cómo se ha instalado la calefacción en casa y como su idea se expandió (?) ,0,1,0,2,0,2,Estoy bastante de acuerdo.,
30/05/2022 22:06:13,Entre 20 y 25 años.,Español.,La entiendo y la hablo bien,La leo y la entiendo fácilmente (escrito),Entiendo lo escrito de manera global,"No la entiendo, ni la leo","No la entiendo, ni la leo",Entiendo lo escrito de manera global,Entiendo lo escrito de manera global,No,,No,No estoy de acuerdo.,NOLa oficina de una guarderia,NOUn padre y una madre entran a una guardería para matricular a sus dos hijos,2,1,3,4,5,1,En la cocina de una casa,"La hija de la chica ha entrado en la universidad y la madre quiere hacerle una tortilla de patata como sorpresa. Jose le ayuda dandole la receta porque segun el, le sale muy bien",2,5,1,3,2,1,En la casa del entrevistado,"Un chico explica como funciona un sistema de calefaccion geotermica, su precio, sus ventajas y la situacion en otros paises como Suecia o Noruega",2,4,1,3,3,4,No estoy de acuerdo.,
30/05/2022 22:06:50,Entre 20 y 25 años.,Español.,La entiendo y la hablo bien,La entiendo y la hablo bien,La leo y la entiendo fácilmente (escrito),"La entiendo bien (oral y escrito), pero no la hablo","No la entiendo, ni la leo","La entiendo bien (oral y escrito), pero no la hablo",La leo y la entiendo fácilmente (escrito),No,,No,No estoy de acuerdo.,En una oficina para trámites burocráticos ,"Va a hacer una matrícula y le toman distintos datos al chico (apellidos, dirección...)",0,4,5,3,2,4,En una cocina ,Están preparando una receta de tortilla de patata,0,4,2,5,1,0,En una casa de Navarra ,Un hombre explica que ha instalado un nuevo equipo de calefacción y por qué es mejor esta nueva calefacción ,0,4,0,5,0,0,No estoy de acuerdo en absoluto.,
30/05/2022 22:13:49,Entre 26 y 40 años.,Español.,La entiendo y la hablo bien,La entiendo y la hablo bien,Entiendo lo escrito de manera global,Entiendo lo escrito de manera global,"No la entiendo, ni la leo",Entiendo lo escrito de manera global,Entiendo lo escrito de manera global,No,,No,No estoy de acuerdo en absoluto.,NOEn un colegio,NODos personas entran a un colegio a matricular a sus dos hijos,0,0,5,4,4,1,En una casa,Ni idea,0,0,2,0,2,1,En una casa,Una entrevista ,0,0,4,1,1,1,No estoy de acuerdo en absoluto.,
30/05/2022 22:13:52,Entre 20 y 25 años.,Español.,"La entiendo bien (oral y escrito), pero no la hablo",Entiendo lo escrito de manera global,"No la entiendo, ni la leo",Entiendo lo escrito de manera global,"No la entiendo, ni la leo",Entiendo lo escrito de manera global,Entiendo lo escrito de manera global,No,,No,No estoy de acuerdo en absoluto.,Ámbito educativo,Inscripción de una matrícula,0,1,2,1,2,0,Cocina de casa,Ingredientes,0,0,1,1,1,0,"Una casa, el jardín",Sistema de la casa en la que vive respecto al agua y la climatización,0,1,1,1,1,1,No estoy de acuerdo.,
30/05/2022 22:17:44,Entre 26 y 40 años.,Español.,La entiendo y la hablo bien,,,,,,,No,,No,No estoy de acuerdo en absoluto.,Oficina,Están haciendo un papeleo,1,1,2,1,0,0,Cocina,Están haciendo lista de la compra ,1,0,0,1,0,0,En una casa,Está hablando de la instalación electrica,1,0,0,1,0,0,No estoy de acuerdo.,
